SEXO;IDADE;GERAÇÃO;RENDA;CLASSEECONOMICA;UF;AREARISCO;FLAG_DE_SOCIO;FLAG_DE_VEICULO;FLAG_DE_BOLSAFAMILIA;FLAG_DE_APOSENTADOS;FLAG_DE_OBITO;FLAG_DE_IMOVEL;EMPREGO_FORMAL;SCORE;SCORE_FAIXA;PERSONADECREDITO;SCORE_DIGITAL;ACORDO
M;39;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;1;604;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
F;49;GEN X;5.001 ATÉ 6.000;B;SP;0;1;0;0;0;0;0;0;877;RISCO MUITO BAIXO;O BEM AMADO;Digital ++;0
F;56;GEN X;3.001 ATÉ 4.000;C;SP;0;1;0;0;0;0;0;0;437;RISCO MÉDIO;QUEM SOU EU;Digital + -;0
F;23;GEN Z;1.000 ATÉ 2.000;D;PR;0;0;0;0;0;0;0;1;656;RISCO BAIXO;SEMPRE PRESENTE;Digital ++;0
F;55;GEN X;1.000 ATÉ 2.000;D;RJ;0;1;0;0;0;0;0;0;487;RISCO MÉDIO;QUEM SOU EU;Digital --;0
F;36;GEN Y;2.001 ATÉ 3.000;D;RJ;0;1;0;0;0;0;0;0;568;RISCO BAIXO;SEMPRE PRESENTE;Digital ++;0
F;33;GEN Y;ATÉ 1.000;E;MG;0;0;0;1;0;0;0;0;577;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
M;52;GEN X;ATÉ 1.000;E;SP;0;0;0;0;0;0;0;0;606;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
F;29;GEN Y;2.001 ATÉ 3.000;D;MG;0;0;0;0;0;0;0;1;296;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
M;51;GEN X;2.001 ATÉ 3.000;D;SP;0;0;1;0;0;0;0;1;348;RISCO MÉDIO;QUEM SOU EU;Digital --;0
M;68;BABY_BOOMER;1.000 ATÉ 2.000;D;PB;0;0;0;0;0;0;0;0;676;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
M;75;BABY_BOOMER;ATÉ 1.000;E;MT;0;0;0;0;1;0;0;0;202;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
F;23;GEN Z;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;1;239;RISCO ALTO;PAGO QUANDO PUDER;Digital +;0
F;65;BABY_BOOMER;2.001 ATÉ 3.000;D;SP;0;0;1;0;1;0;0;1;243;RISCO ALTO;PAGO QUANDO PUDER;Digital --;1
F;54;GEN X;4.001 ATÉ 5.000;C;SP;0;1;1;0;0;0;0;1;312;RISCO MÉDIO;QUEM SOU EU;Digital ++;0
F;39;GEN Y;1.000 ATÉ 2.000;D;ES;0;1;0;0;0;0;0;1;87;RISCO MUITO ALTO;FUJAM DE MIM;Digital +;0
F;68;BABY_BOOMER;ATÉ 1.000;E;SP;0;0;0;0;1;0;0;0;502;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
M;52;GEN X;2.001 ATÉ 3.000;D;SP;0;0;1;0;0;0;0;1;317;RISCO MÉDIO;QUEM SOU EU;Digital --;0
F;72;BABY_BOOMER;1.000 ATÉ 2.000;D;SP;0;0;0;1;0;0;0;0;787;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
F;70;BABY_BOOMER;6.001 ATÉ 7.000;B;CE;0;1;0;0;1;1;0;1;792;RISCO MUITO BAIXO;O BEM AMADO;Digital -;0
M;77;VETERANOS;1.000 ATÉ 2.000;D;SP;0;0;1;0;1;1;0;0;461;RISCO MÉDIO;QUEM SOU EU;Digital --;0
M;51;GEN X;12.001 ATÉ 13.000;B;SP;0;1;1;0;1;0;0;0;547;RISCO BAIXO;SEMPRE PRESENTE;Digital + -;0
F;56;GEN X;1.000 ATÉ 2.000;D;SP;0;0;0;0;0;1;0;1;393;RISCO MÉDIO;QUEM SOU EU;Digital --;0
F;61;BABY_BOOMER;ATÉ 1.000;E;SP;0;0;0;0;1;0;0;0;67;RISCO MUITO ALTO;FUJAM DE MIM;Digital --;0
F;55;GEN X;4.001 ATÉ 5.000;C;SP;0;0;0;0;0;0;0;1;350;RISCO MÉDIO;QUEM SOU EU;Digital + -;0
F;28;GEN Y;NULL;X;NULL;0;0;0;1;0;0;0;0;530;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
M;22;GEN Z;1.000 ATÉ 2.000;D;NULL;0;0;0;0;1;0;0;1;216;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
M;24;GEN Z;2.001 ATÉ 3.000;D;PR;0;0;0;0;0;0;0;1;187;RISCO ALTO;PAGO QUANDO PUDER;Digital +;0
I;43;GEN X;ATÉ 1.000;E;RJ;0;0;0;1;0;0;0;0;416;RISCO MÉDIO;QUEM SOU EU;Digital --;0
F;22;GEN Z;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;0;599;RISCO BAIXO;SEMPRE PRESENTE;Digital ++;0
M;26;GEN Z;ATÉ 1.000;E;PE;0;0;0;0;0;0;0;0;198;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
M;30;GEN Y;1.000 ATÉ 2.000;D;MG;0;0;0;0;0;0;0;0;410;RISCO MÉDIO;QUEM SOU EU;Digital + -;1
F;53;GEN X;10.001 ATÉ 11.000;B;SP;0;1;0;0;0;0;0;0;185;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
F;27;GEN Z;ATÉ 1.000;D;RJ;0;0;0;0;0;0;0;1;228;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
M;38;GEN Y;2.001 ATÉ 3.000;D;RJ;0;1;0;0;0;0;0;1;828;RISCO MUITO BAIXO;O BEM AMADO;Digital + -;0
F;57;GEN X;1.000 ATÉ 2.000;D;SP;0;0;1;0;0;0;0;0;160;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
F;27;GEN Z;1.000 ATÉ 2.000;D;SC;0;0;0;0;0;0;0;0;403;RISCO MÉDIO;QUEM SOU EU;Digital +;0
M;22;GEN Z;1.000 ATÉ 2.000;D;SC;0;0;0;0;0;0;0;1;409;RISCO MÉDIO;QUEM SOU EU;Digital +;0
I;72;BABY_BOOMER;2.001 ATÉ 3.000;D;MA;0;1;0;0;1;0;0;0;589;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
M;31;GEN Y;2.001 ATÉ 3.000;D;NULL;0;0;0;0;0;0;0;1;177;RISCO ALTO;PAGO QUANDO PUDER;Digital +;0
F;24;GEN Z;1.000 ATÉ 2.000;D;RJ;0;1;0;0;0;0;0;0;216;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
M;24;GEN Z;1.000 ATÉ 2.000;D;PE;1;0;0;0;0;0;0;1;224;RISCO ALTO;PAGO QUANDO PUDER;Digital +;0
F;30;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;1;613;RISCO BAIXO;SEMPRE PRESENTE;Digital +;0
F;30;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;1;550;RISCO BAIXO;SEMPRE PRESENTE;Digital + -;0
M;37;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;1;194;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
F;23;GEN Z;ATÉ 1.000;E;NULL;0;0;0;0;0;0;0;0;370;RISCO MÉDIO;QUEM SOU EU;Digital + -;0
F;38;GEN Y;1.000 ATÉ 2.000;D;ES;0;0;0;0;0;0;0;1;858;RISCO MUITO BAIXO;O BEM AMADO;Digital +;1
M;29;GEN Y;ATÉ 1.000;E;NULL;0;0;0;0;0;0;0;0;357;RISCO MÉDIO;QUEM SOU EU;Digital -;0
M;26;GEN Z;2.001 ATÉ 3.000;D;NULL;0;0;0;0;0;0;0;1;250;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
M;27;GEN Z;1.000 ATÉ 2.000;D;RJ;0;1;0;0;0;0;0;1;305;RISCO MÉDIO;QUEM SOU EU;Digital ++;0
M;26;GEN Z;ATÉ 1.000;E;NULL;0;0;0;0;0;0;0;1;625;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
M;36;GEN Y;2.001 ATÉ 3.000;D;RJ;0;0;0;0;0;0;0;1;413;RISCO MÉDIO;QUEM SOU EU;Digital -;0
M;45;GEN X;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;1;759;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
